medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
E71CDEFCB364DA0D385629612EE30642,C7259B75B62CB850082BDEB4149DC075,CMT,1,N,07-01-13 18:42,07-01-13 18:46,1,-73.985481,40.75679,-73.99131,40.749985
B4B73C7B5D426BF5D77586628774409D,521E0E82FE5F1C8DDD7F019CE718C022,CMT,1,N,07-01-13 20:44,07-01-13 20:46,1,-73.988838,40.723125,-73.99382,40.721088
BCE59CF7BF7FC3BCAF75E0DA610454AE,3D1DA149B5F4C3AF065249253EDAFE4F,CMT,1,N,08-01-13 00:38,08-01-13 00:54,1,-73.988708,40.720913,-73.940193,40.79808
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,1,N,08-01-13 03:50,08-01-13 03:53,2,-73.981224,40.767769,-73.970879,40.758625
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,1,N,07-01-13 19:41,07-01-13 19:46,1,-73.990692,40.718311,-73.979843,40.739082
927778B147439831E9A9A478457D25E1,2E744AB076831794EAD3C3AE52FAAE8B,CMT,1,N,07-01-13 09:54,07-01-13 10:03,1,-73.952293,40.766174,-73.956772,40.783718
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,1,N,08-01-13 15:47,08-01-13 16:06,1,-73.96151,40.771465,-73.991211,40.739906
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,2,N,08-01-13 10:38,08-01-13 11:16,2,-74.007858,40.705116,-73.789879,40.643303
BDEEBD1061513B74A562C671996AC37D,4AD765DA056982FF3FBB07B15E3EE833,CMT,1,N,10-01-13 12:44,10-01-13 12:46,1,-73.995338,40.744701,-73.993591,40.737778
09C6A58617D39C6AF257965FE1EADADD,9E0AC254B3663DCB83FB6D514AA94F33,CMT,1,N,07-01-13 07:00,07-01-13 07:03,1,-73.989571,40.756386,-73.980858,40.761368
F1C59489D7073DD8F1838DD0E905F47D,41BD3F0A3B9F226AF061931FECE16869,CMT,1,N,07-01-13 19:28,07-01-13 19:37,2,-73.99514,40.754845,-74.00518,40.728897
826C0A320CFC98F461EA887C2F9D1509,AB97FEEAF9D7C32566773EA33D18E4AA,CMT,1,N,08-01-13 11:19,08-01-13 11:35,1,-73.993645,40.75573,-73.984528,40.762451
84EF36B5618476EF69CAA413F8464108,BAC3A898EA6DE003F54EFFF3594BEE41,CMT,1,N,05-01-13 09:50,05-01-13 09:57,1,-73.999763,40.743454,-73.978607,40.752537
251012565308E6E0E67550CFBBD253AB,8B204068A2EB2F13F762C05AC1F0B075,CMT,1,N,05-01-13 19:52,05-01-13 20:08,4,-73.999146,40.734352,-73.983322,40.773598
B35B40A7C6563AAC24DF7566CD3434E1,D28B1ABE1ED4B3DC3C2C8B9D949F123A,CMT,1,N,07-01-13 16:31,07-01-13 16:35,1,-73.990356,40.749485,-73.990852,40.756248
281BD3C8825FF093DCEC21A7E65697CE,2C2E05D913DBB61C7E5B334FFAEF6132,CMT,1,N,07-01-13 18:03,07-01-13 18:14,1,-73.982033,40.783218,-73.957726,40.80088
BDEEBD1061513B74A562C671996AC37D,4AD765DA056982FF3FBB07B15E3EE833,CMT,1,N,10-01-13 12:19,10-01-13 12:25,1,-73.964081,40.76532,-73.967987,40.762878
6C8288A327BA30EC477E601902DEE83A,56513BD62A237C81681F8A6225F150FE,CMT,1,N,10-01-13 09:36,10-01-13 09:39,1,-74.00016,40.721786,-74.004173,40.716911
4351ACEF683BECBD3E283F324EB78460,D60F62D8BFC273D4B886BFC51EF3434A,CMT,1,N,08-01-13 12:40,08-01-13 12:44,1,-73.977966,40.745564,-73.979599,40.735664
A954A71B6D44265AE756BF807E069396,D5CA7D478A14BA3BBFC20153C5C88B1A,CMT,1,N,07-01-13 10:05,07-01-13 10:13,1,-73.98909,40.748367,-73.974983,40.756035
6502AF8DFACB2ED1E98C8E19E1F9B1FD,8F57E218C49D5545AF62D9EF159B625D,CMT,1,N,07-01-13 10:42,07-01-13 10:48,1,-73.975433,40.752464,-73.975189,40.741436
50C1AEB304BCE14FCE2D6339B675393C,67DE3661852881262093FF46250AF928,CMT,1,Y,10-01-13 15:08,10-01-13 15:16,2,-74.003731,40.726925,-73.998352,40.745613
A5A8A43BC46B1407C12AC4D4E336BF29,F1FD273B5311056AEAEC7CFCFA3A019A,CMT,1,N,07-01-13 16:33,07-01-13 16:35,1,-73.978653,40.752361,-73.980858,40.747856
